"class","method","reference.x","set","precision","recall","f1","accuracy","reference.y","full_precision","full_recall","full_f1","full_accuracy"
"77","B cell","SingleCellNet","",9,NA,NA,NA,NA,"BoneMarrow",0.955998033431662,0.990323402088108,0.97285803627267,0.990323402088108
"78","B cell","SingleCellNet","",10,NA,NA,NA,NA,"BoneMarrow",0.955998033431662,0.990323402088108,0.97285803627267,0.990323402088108
"79","B cell","SingleCellNet","",11,NA,NA,NA,NA,"BoneMarrow",0.955998033431662,0.990323402088108,0.97285803627267,0.990323402088108
"80","B cell","SingleCellNet","",12,NA,NA,NA,NA,"BoneMarrow",0.955998033431662,0.990323402088108,0.97285803627267,0.990323402088108
"81","B cell","SingleR","",2,NA,NA,NA,NA,"BoneMarrow",0.968647316538883,0.900814871403107,0.933500461802349,0.900814871403107
"82","B cell","SingleR","",3,NA,NA,NA,NA,"BoneMarrow",0.968647316538883,0.900814871403107,0.933500461802349,0.900814871403107
"83","B cell","SingleR","",1,NA,NA,NA,NA,"BoneMarrow",0.968647316538883,0.900814871403107,0.933500461802349,0.900814871403107
"84","B cell","SingleR","",6,NA,NA,NA,NA,"BoneMarrow",0.968647316538883,0.900814871403107,0.933500461802349,0.900814871403107
"85","B cell","SingleR","",7,NA,NA,NA,NA,"BoneMarrow",0.968647316538883,0.900814871403107,0.933500461802349,0.900814871403107
"86","B cell","SingleR","",4,NA,NA,NA,NA,"BoneMarrow",0.968647316538883,0.900814871403107,0.933500461802349,0.900814871403107
"87","B cell","SingleR","",5,NA,NA,NA,NA,"BoneMarrow",0.968647316538883,0.900814871403107,0.933500461802349,0.900814871403107
"88","B cell","SingleR","",13,NA,NA,NA,NA,"BoneMarrow",0.968647316538883,0.900814871403107,0.933500461802349,0.900814871403107
"89","B cell","SingleR","",14,NA,NA,NA,NA,"BoneMarrow",0.968647316538883,0.900814871403107,0.933500461802349,0.900814871403107
"90","B cell","SingleR","",15,NA,NA,NA,NA,"BoneMarrow",0.968647316538883,0.900814871403107,0.933500461802349,0.900814871403107
"91","B cell","SingleR","",16,NA,NA,NA,NA,"BoneMarrow",0.968647316538883,0.900814871403107,0.933500461802349,0.900814871403107
"92","B cell","SingleR","",17,NA,NA,NA,NA,"BoneMarrow",0.968647316538883,0.900814871403107,0.933500461802349,0.900814871403107
"93","B cell","SingleR","",18,NA,NA,NA,NA,"BoneMarrow",0.968647316538883,0.900814871403107,0.933500461802349,0.900814871403107
"94","B cell","SingleR","",19,NA,NA,NA,NA,"BoneMarrow",0.968647316538883,0.900814871403107,0.933500461802349,0.900814871403107
"95","B cell","SingleR","",20,NA,NA,NA,NA,"BoneMarrow",0.968647316538883,0.900814871403107,0.933500461802349,0.900814871403107
"96","B cell","SingleR","",8,NA,NA,NA,NA,"BoneMarrow",0.968647316538883,0.900814871403107,0.933500461802349,0.900814871403107
"97","B cell","SingleR","",9,NA,NA,NA,NA,"BoneMarrow",0.968647316538883,0.900814871403107,0.933500461802349,0.900814871403107
"98","B cell","SingleR","",10,NA,NA,NA,NA,"BoneMarrow",0.968647316538883,0.900814871403107,0.933500461802349,0.900814871403107
"99","B cell","SingleR","",11,NA,NA,NA,NA,"BoneMarrow",0.968647316538883,0.900814871403107,0.933500461802349,0.900814871403107
"100","B cell","SingleR","",12,NA,NA,NA,NA,"BoneMarrow",0.968647316538883,0.900814871403107,0.933500461802349,0.900814871403107
"101","Dendritic cell","CellID","",6,NA,NA,NA,NA,"BoneMarrow",0.579194001874414,0.551785714285714,0.565157750342936,0.551785714285714
"102","Dendritic cell","CellID","",7,NA,NA,NA,NA,"BoneMarrow",0.579194001874414,0.551785714285714,0.565157750342936,0.551785714285714
"103","Dendritic cell","CellID","",8,NA,NA,NA,NA,"BoneMarrow",0.579194001874414,0.551785714285714,0.565157750342936,0.551785714285714
"104","Dendritic cell","CellID","",5,NA,NA,NA,NA,"BoneMarrow",0.579194001874414,0.551785714285714,0.565157750342936,0.551785714285714
"105","Dendritic cell","CellID","",10,NA,NA,NA,NA,"BoneMarrow",0.579194001874414,0.551785714285714,0.565157750342936,0.551785714285714
"106","Dendritic cell","CellID","",11,NA,NA,NA,NA,"BoneMarrow",0.579194001874414,0.551785714285714,0.565157750342936,0.551785714285714
"107","Dendritic cell","CellID","",12,NA,NA,NA,NA,"BoneMarrow",0.579194001874414,0.551785714285714,0.565157750342936,0.551785714285714
"108","Dendritic cell","CellID","",9,NA,NA,NA,NA,"BoneMarrow",0.579194001874414,0.551785714285714,0.565157750342936,0.551785714285714
"109","Dendritic cell","CellID","",1,NA,NA,NA,NA,"BoneMarrow",0.579194001874414,0.551785714285714,0.565157750342936,0.551785714285714
"110","Dendritic cell","CellID","",2,NA,NA,NA,NA,"BoneMarrow",0.579194001874414,0.551785714285714,0.565157750342936,0.551785714285714
"111","Dendritic cell","CellID","",3,NA,NA,NA,NA,"BoneMarrow",0.579194001874414,0.551785714285714,0.565157750342936,0.551785714285714
"112","Dendritic cell","CellID","",4,NA,NA,NA,NA,"BoneMarrow",0.579194001874414,0.551785714285714,0.565157750342936,0.551785714285714
"113","Dendritic cell","CellID","",17,NA,NA,NA,NA,"BoneMarrow",0.579194001874414,0.551785714285714,0.565157750342936,0.551785714285714
"114","Dendritic cell","CellID","",18,NA,NA,NA,NA,"BoneMarrow",0.579194001874414,0.551785714285714,0.565157750342936,0.551785714285714
"115","Dendritic cell","CellID","",19,NA,NA,NA,NA,"BoneMarrow",0.579194001874414,0.551785714285714,0.565157750342936,0.551785714285714
"116","Dendritic cell","CellID","",20,NA,NA,NA,NA,"BoneMarrow",0.579194001874414,0.551785714285714,0.565157750342936,0.551785714285714
"117","Dendritic cell","CellID","",16,NA,NA,NA,NA,"BoneMarrow",0.579194001874414,0.551785714285714,0.565157750342936,0.551785714285714
"118","Dendritic cell","CellID","",13,NA,NA,NA,NA,"BoneMarrow",0.579194001874414,0.551785714285714,0.565157750342936,0.551785714285714
"119","Dendritic cell","CellID","",14,NA,NA,NA,NA,"BoneMarrow",0.579194001874414,0.551785714285714,0.565157750342936,0.551785714285714
"120","Dendritic cell","CellID","",15,NA,NA,NA,NA,"BoneMarrow",0.579194001874414,0.551785714285714,0.565157750342936,0.551785714285714
