"","class","reference","method","size","set","precision","recall","f1","accuracy"
"22","Myelocytes","BoneMarrow","Seurat",14707,1,0.854819976771196,0.685288640595903,0.760723514211886,0.685288640595903
"23","Myelocytes","BoneMarrow","SingleCellNet",14707,1,0.8565965583174,0.834264432029795,0.845283018867925,0.834264432029795
"24","Myelocytes","BoneMarrow","SingleR",14707,1,0.839147286821705,0.604748603351955,0.702922077922078,0.604748603351955
"25","Myelocytes","BoneMarrow","ItClust",14707,1,0.0808402291534055,0.118249534450652,0.0960302457466919,0.118249534450652
"26","NK cell","BoneMarrow","CellID",14707,1,0.480012590494177,0.845343680709534,0.612326841999598,0.845343680709534
"27","NK cell","BoneMarrow","Seurat",14707,1,0.969565217391304,0.86529933481153,0.914469830111306,0.86529933481153
"28","NK cell","BoneMarrow","SingleCellNet",14707,1,0.978036175710594,0.839246119733925,0.903341288782816,0.839246119733925
"29","NK cell","BoneMarrow","SingleR",14707,1,0.963906581740977,0.754988913525499,0.846751631955238,0.754988913525499
"30","NK cell","BoneMarrow","ItClust",14707,1,NA,0,NA,0
"31","Megakaryocyte progenitors","BoneMarrow","CellID",14707,1,0.426470588235294,0.480662983425414,0.451948051948052,0.480662983425414
"32","Megakaryocyte progenitors","BoneMarrow","Seurat",14707,1,0.615384615384615,0.397790055248619,0.483221476510067,0.397790055248619
"33","Megakaryocyte progenitors","BoneMarrow","SingleCellNet",14707,1,0.649350649350649,0.276243093922652,0.387596899224806,0.276243093922652
"34","Megakaryocyte progenitors","BoneMarrow","SingleR",14707,1,0.498989898989899,0.68232044198895,0.576429404900817,0.68232044198895
"35","Megakaryocyte progenitors","BoneMarrow","ItClust",14707,1,0.0160513643659711,0.0552486187845304,0.0248756218905473,0.0552486187845304
"36","Erythroid","BoneMarrow","CellID",14707,1,0.696551724137931,0.773353751914242,0.732946298984035,0.773353751914242
"37","Erythroid","BoneMarrow","Seurat",14707,1,0.810738255033557,0.924961715160796,0.864091559370529,0.924961715160796
"38","Erythroid","BoneMarrow","SingleCellNet",14707,1,0.723981900452489,0.980091883614089,0.832791151594014,0.980091883614089
"39","Erythroid","BoneMarrow","SingleR",14707,1,0.994617868675996,0.70750382848392,0.826845637583893,0.70750382848392
"40","Erythroid","BoneMarrow","ItClust",14707,1,0.0561456752655539,0.0566615620214395,0.0564024390243902,0.0566615620214395
"41","HSCs & MPPs","BoneMarrow","CellID",14707,1,0.564954682779456,0.464596273291925,0.509884117246081,0.464596273291925
"42","HSCs & MPPs","BoneMarrow","Seurat",14707,1,0.615221088435374,0.898757763975155,0.730439172135285,0.898757763975155
"43","HSCs & MPPs","BoneMarrow","SingleCellNet",14707,1,0.80952380952381,0.760248447204969,0.784112748238309,0.760248447204969
"44","HSCs & MPPs","BoneMarrow","SingleR",14707,1,0.565020576131687,0.852795031055901,0.67970297029703,0.852795031055901
"45","HSCs & MPPs","BoneMarrow","ItClust",14707,1,0.0640569395017794,0.0447204968944099,0.0526700804681785,0.0447204968944099
"46","Eosinophil-basophil-mast cell progenitors","BoneMarrow","CellID",14707,1,0.0503778337531486,0.169491525423729,0.0776699029126214,0.169491525423729
"47","Eosinophil-basophil-mast cell progenitors","BoneMarrow","Seurat",14707,1,0.740740740740741,0.169491525423729,0.275862068965517,0.169491525423729
"48","Eosinophil-basophil-mast cell progenitors","BoneMarrow","SingleCellNet",14707,1,0.970588235294118,0.559322033898305,0.709677419354839,0.559322033898305
"49","Eosinophil-basophil-mast cell progenitors","BoneMarrow","SingleR",14707,1,0.803738317757009,0.728813559322034,0.764444444444444,0.728813559322034
"50","Eosinophil-basophil-mast cell progenitors","BoneMarrow","ItClust",14707,1,0.00415512465373961,0.0508474576271186,0.00768245838668374,0.0508474576271186
"51","Plasma cells","BoneMarrow","CellID",14707,1,0.09375,0.5,0.157894736842105,0.5
"52","Plasma cells","BoneMarrow","Seurat",14707,1,0.837837837837838,0.516666666666667,0.639175257731959,0.516666666666667
"53","Plasma cells","BoneMarrow","SingleCellNet",14707,1,1,0.7,0.823529411764706,0.7
"54","Plasma cells","BoneMarrow","SingleR",14707,1,0.419642857142857,0.783333333333333,0.546511627906977,0.783333333333333
"55","Plasma cells","BoneMarrow","ItClust",14707,1,NA,0,NA,0
"56","Monocytes","BoneMarrow","CellID",14707,1,0.433940774487472,0.732692307692308,0.545064377682403,0.732692307692308
"57","Monocytes","BoneMarrow","Seurat",14707,1,0.656534954407295,0.830769230769231,0.733446519524618,0.830769230769231
"58","Monocytes","BoneMarrow","SingleCellNet",14707,1,0.78494623655914,0.842307692307692,0.812615955473098,0.842307692307692
"59","Monocytes","BoneMarrow","SingleR",14707,1,0.618018018018018,0.659615384615385,0.638139534883721,0.659615384615385
"60","Monocytes","BoneMarrow","ItClust",14707,1,0.0171969045571797,0.0769230769230769,0.028109627547435,0.0769230769230769
"61","Erythro-myeloid progenitors","BoneMarrow","CellID",14707,1,0.268991282689913,0.504672897196262,0.35093419983753,0.504672897196262
"62","Erythro-myeloid progenitors","BoneMarrow","Seurat",14707,1,0.561290322580645,0.406542056074766,0.471544715447154,0.406542056074766
"63","Erythro-myeloid progenitors","BoneMarrow","SingleCellNet",14707,1,0.67479674796748,0.38785046728972,0.492581602373887,0.38785046728972
"64","Erythro-myeloid progenitors","BoneMarrow","SingleR",14707,1,0.534290271132376,0.782710280373832,0.635071090047393,0.782710280373832
"65","Erythro-myeloid progenitors","BoneMarrow","ItClust",14707,1,0.0190311418685121,0.0514018691588785,0.0277777777777778,0.0514018691588785
