"id","reference","CellID","ItClust","Seurat","SingleCellNet","SingleR"
"205","X11270","BoneMarrow",1,0,1,1,1
"206","X112710","BoneMarrow",1,1,1,1,1
"207","X112760","BoneMarrow",1,0,1,1,1
"208","X112799","BoneMarrow",0,0,1,1,1
"209","X112863","BoneMarrow",1,0,1,1,1
"210","X112896","BoneMarrow",1,1,1,1,1
"211","X112903","BoneMarrow",1,0,1,1,1
"212","X112910","BoneMarrow",0,0.3,1,1,1
"213","X113042","BoneMarrow",0.8,0,0.9,1,1
"214","X113067","BoneMarrow",0.75,1,1,1,1
"215","X113102","BoneMarrow",1,1,1,1,1
"216","X113282","BoneMarrow",1,0,1,1,1
"217","X113398","BoneMarrow",0,0,1,1,0
"218","X113409","BoneMarrow",1,1,1,1,1
"219","X113459","BoneMarrow",1,1,1,1,1
"220","X113492","BoneMarrow",0,0,1,1,1
"221","X113544","BoneMarrow",1,0,1,1,1
"222","X113560","BoneMarrow",0,0,1,1,0
"223","X11361","BoneMarrow",0.75,0,1,1,0.7
"224","X113610","BoneMarrow",0,0,1,1,1
"225","X113719","BoneMarrow",1,1,1,1,1
"226","X113771","BoneMarrow",0.95,1,1,1,1
"227","X11390","BoneMarrow",1,1,1,1,1
"228","X113940","BoneMarrow",0.75,0,1,1,1
"229","X113979","BoneMarrow",1,1,1,1,1
"230","X113991","BoneMarrow",1,0,1,1,1
"231","X114020","BoneMarrow",1,0,1,1,1
"232","X114062","BoneMarrow",0.2,0,1,1,1
"233","X11407","BoneMarrow",0,0,1,1,1
"234","X1141","BoneMarrow",0,0,1,1,1
"235","X114101","BoneMarrow",0,1,1,1,1
"236","X114161","BoneMarrow",1,1,1,1,0.4
"237","X114181","BoneMarrow",1,1,1,1,1
"238","X114266","BoneMarrow",0,0,0,0,0
"239","X114352","BoneMarrow",1,0,1,1,1
"240","X114468","BoneMarrow",0.25,0.6,1,1,1
"241","X114478","BoneMarrow",0.1,1,1,1,1
"242","X114500","BoneMarrow",0,1,0.2,1,1
"243","X114600","BoneMarrow",1,0,0,0.1,0
"244","X114634","BoneMarrow",1,1,1,1,1
"245","X114663","BoneMarrow",0,1,1,1,1
"246","X114711","BoneMarrow",0,0,1,1,0.8
"247","X114773","BoneMarrow",1,1,1,1,1
"248","X114777","BoneMarrow",1,1,1,1,1
"249","X114840","BoneMarrow",1,1,1,1,1
"250","X114879","BoneMarrow",1,0,1,1,1
"251","X11491","BoneMarrow",0,0,1,0,0
"252","X114957","BoneMarrow",1,0,1,1,1
"253","X115066","BoneMarrow",0.8,0,1,1,1
"254","X115092","BoneMarrow",0,0.3,0.9,1,1
"255","X115139","BoneMarrow",1,1,1,1,1
"256","X115145","BoneMarrow",1,1,1,1,1
"257","X115170","BoneMarrow",1,1,1,1,1
"258","X115296","BoneMarrow",1,1,1,1,1
"259","X115305","BoneMarrow",1,0.9,0.2,1,1
"260","X115312","BoneMarrow",1,1,1,1,1
"261","X115326","BoneMarrow",0,0,1,1,1
"262","X115405","BoneMarrow",1,1,1,1,1
"263","X115432","BoneMarrow",0,0.1,1,1,0
"264","X115496","BoneMarrow",1,1,1,0,1
"265","X115529","BoneMarrow",1,1,1,0,0.9
"266","X115554","BoneMarrow",0,0,1,0.5,0.3
"267","X115650","BoneMarrow",1,0,1,0,0.3
"268","X115794","BoneMarrow",0.4,0,1,1,1
"269","X11582","BoneMarrow",1,0,1,1,1
"270","X115833","BoneMarrow",1,0,1,1,1
"271","X115914","BoneMarrow",0.6,1,0.9,1,0.6
"272","X115951","BoneMarrow",1,0,1,1,1
"273","X115979","BoneMarrow",1,1,1,1,1
"274","X116037","BoneMarrow",1,1,1,1,1
"275","X116041","BoneMarrow",0.95,0,1,1,1
"276","X116043","BoneMarrow",0,0,1,1,0
"277","X11612","BoneMarrow",0.6,1,1,1,1
"278","X116149","BoneMarrow",0.9,0,1,1,1
"279","X116267","BoneMarrow",1,0,1,1,1
"280","X116343","BoneMarrow",0,0,1,1,1
"281","X116344","BoneMarrow",0,1,1,1,0
"282","X11637","BoneMarrow",1,0,1,1,1
"283","X116472","BoneMarrow",1,1,1,1,1
"284","X116512","BoneMarrow",0,1,0,1,0
"285","X116584","BoneMarrow",0,1,1,1,1
"286","X116597","BoneMarrow",0,0,1,1,1
"287","X116645","BoneMarrow",0,0,1,1,1
"288","X116738","BoneMarrow",1,1,1,1,1
"289","X116753","BoneMarrow",1,1,1,1,1
"290","X116757","BoneMarrow",1,1,1,1,0
"291","X116776","BoneMarrow",1,1,1,1,1
"292","X116796","BoneMarrow",0,0,1,1,1
"293","X116817","BoneMarrow",1,1,1,1,0
"294","X116837","BoneMarrow",1,1,1,1,1
"295","X116851","BoneMarrow",0,0.9,1,1,1
"296","X116855","BoneMarrow",1,0,1,1,1
"297","X116865","BoneMarrow",0,1,0.9,1,1
"298","X116884","BoneMarrow",0,1,1,0.9,1
"299","X116921","BoneMarrow",0,1,1,1,1
"300","X116935","BoneMarrow",0,0,0.8,0,0
"301","X117018","BoneMarrow",0,0,1,1,1
"302","X117191","BoneMarrow",0,0,1,1,1
"303","X117208","BoneMarrow",1,0,0.9,0.1,0.2
"304","X117256","BoneMarrow",1,1,1,1,1
"305","X117283","BoneMarrow",0,1,1,0.9,0.5
"306","X117307","BoneMarrow",0,0,0.9,1,1
"307","X117312","BoneMarrow",1,1,1,1,1
"308","X117334","BoneMarrow",0,1,1,1,1
"309","X117407","BoneMarrow",0,1,1,1,0.7
